خودرو,تیپ,نوع رنگ,مدل,کارکرد,بیمه,گیربکس,موتور,شاسی,بدنه,عکس,قیمت,شهر
206,2,دلفینی,1385,۲۴۵٬۰۰۰,۱۰ ماه,دنده,سالم,,رنگ,دارد,460000000,همدان
206,2,نقره,1387,۲۵۰٬۰۰۰,۵ ماه,دنده,سالم,,رنگ,دارد,295000000,همدان
206,2,قرمز,1390,۱۸۵٬۰۰۰,۶ ماه,دنده,,,رنگ,دارد,315000000,همدان
206,2,سفید,1389,۲۴۵٬۰۰۰,۱۰ ماه,دنده ای,,سالم و پلمپ,خط و خش جزئی,دارد,300000000,همدان
206,2,سفید,1396,۸۲٬۰۰۰,۵ ماه,دنده ای,,سالم و پلمپ,سالم و بی خط و خش,دارد,460000000,همدان
206,2,سفید,1389,397000,8,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,355000000,تبریز
206,2,خاکستری,1388,176000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,362000000,تبریز
206,2,سفید,1389,250000,7,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,298000000,تبریز
206,2,سفید,1399,98000,6,دنده ای,,,,دارد,556000000,تبریز
206,2,سفید,1390,202000,7,دنده ای,,,,دارد,340000000,تبریز
206,2,سفید,1390,260000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,360000000,تبریز
206,2,مشکی,1388,380000,4,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 3 ناحیه,دارد,,تبریز
206,2,سفید,1390,200000,9,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,350000000,تبریز
206,2,سفید,1387,250000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,345000000,تبریز
206,2,سفید,1395,120000,12,دنده ای,سالم, سالم و پلمپ,سالم و بی خط و خش,دارد,260000000,ساری
206,2,سفید,1389,360000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,400000000,ساری
206,2,خاکستری,1388,200000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,383000000,ساری
206,2,سفید,1399,90000,ندارد,دنده ای,,,,دارد,545000000,ساری
206,2,سفید,1383,488460,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,250000000,ساری
206,2,سفید,1384,300000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,270000000,ساری
206,2,سفید,1389,220000,ندارد,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,395000000,ساری
206,2,سفید,1400,65000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,,ساری
206,2,نقره ای,1384,300000,ندارد,دنده ای,تصادفی,سالم و پلمپ,خط و خش جزئی,دارد,183000000,سیرجان
206,2,نقره ای,1385,350000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 3 ناحیه,دارد,230000000,سیرجان
206,2,دلفینی,1388,218000,12,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 1 ناحیه,دارد,300000000,سیرجان
206,2,سفید,1390,320000,10,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,349000000,سیرجان
206,2,سفید,1396,160000,5,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,460000000,سیرجان
206,2,نقره ای,1383,200000,12,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,205000000,سیرجان
206,2,سسفید صدفی,1394,200000,5,دنده ای,سالم,سالم و پلمپ,تمام رنگ,دارد,355000000,سیرجان
206,2,خاکستری,1384,250000,4,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,230000000,سیرجان
206,2,نقره ای,1383,400000,8,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,239000000,سیرجان
206,2,نوک مدادی,1389,180000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,400000000,سیرجان
206,2,سفید,1397,150000,ندارد,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,465000000,مشهد
206,2,خاکستری,1385,492000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,265000000,مشهد
206,2,سفید,1396,109000,9,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,493000000,مشهد
206,2,سفید,1400,23500,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,630000000,مشهد
206,2,سفید,1387,300000,ندارد,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,345000000,مشهد
206,2,سفید,1396,102000,9,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,456900000,مشهد
206,2,سفید,1395,139000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,477000000,مشهد
206,2,سفید,1401,52000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,650000000,مشهد
206,2,سفید,1391,270000,6,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,355000000,مشهد
206,2,سفید,1401,59000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 3 ناحیه,دارد,550000000,مشهد
206,2,سفید,1401,40000,2,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,590000000,تهران
206,2,سفید,1389,220000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,330000000,تهران
206,2,سفید,1396,109000,9,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,493000000,تهران
206,2,سفید,1400,23500,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,630000000,تهران
206,2,سفید,1387,300000,1,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,345000000,تهران
206,2,سفید,1396,102000,9,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,456900000,تهران
206,2,سفید,1398,94000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,540000000,تهران
206,2,سفید,1399,120000,9,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,555000000,تهران
206,2,سفید,1391,270000,6,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,355000000,تهران
206,2,سفید,1401,59000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 3 ناحیه,دارد,550000000,تهران
206,2,سفید,1401,38000,2,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,620000000,لاهیجان
206,2,دلفینی,1389,250000,6,دنده,سالم,ضربه,سالم و بی خط و خش,دارد,3400000,لاهیجان
206,2,سفید,1401,104000,8,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,590000000,لاهیجان
206,2,دلفینی,1389,250000,12,دنده,سالم,سالم و پلمپ,دور رنگ,دارد,340000000,لاهیجان
206,2,خاکستری,1393,316000,5,دنده,سالم,سالم و پلمپ,رنگ,دارد,375000000,لاهیجان
206,2,خاکستری,1399,300000,4,دنده,سالم,تعیین,دور رنگ,دارد,260000000,لاهیجان
206,2,سفید,1400,135000,6,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,565000000,لاهیجان
206,2,نوک مدادی,1388,300000,5,دنده,سالم,سالم و پلمپ,خط و خش جزئی,دارد,295000000,لاهیجان
206,2,سفید,1395,37000,5,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش ,دارد,635000000,لاهیجان
